fid,DN,area
1,"2",5627.733
2,"1",11880.718
3,"5",18133.872
4,"1",8754.265
5,"2",68158.422
6,"2",11880.880
7,"3",65031.719
8,"3",26887.959
9,"3",159453.418
10,"3",7503.640
11,"1",625.304
12,"2",85666.976
13,"1",10004.864
14,"2",15007.491
15,"3",1250.615
16,"3",1250.616
17,"3",2501.232
18,"3",35642.349
19,"3",10630.095
20,"5",10004.978
21,"3",625.308
22,"3",6878.367
23,"3",7503.702
24,"3",11255.414
25,"3",15632.790
26,"2",10630.293
27,"5",30014.431
28,"3",21885.585
29,"3",16883.012
30,"3",4377.138
31,"3",10630.167
32,"5",9379.676
33,"2",16883.391
34,"3",6252.974
35,"2",625.311
36,"1",7503.646
37,"3",11255.558
38,"2",41895.166
39,"2",16883.455
40,"3",16257.881
41,"3",1250.626
42,"5",625.313
43,"5",16258.147
44,"5",15632.478
45,"2",5627.753
46,"3",22511.257
47,"3",11255.512
48,"2",23136.381
49,"3",6252.994
50,"1",8754.176
51,"3",5627.795
52,"2",75036.358
53,"5",5002.487
54,"2",11880.786
55,"3",9379.597
56,"3",6878.315
57,"3",75036.606
58,"3",20635.109
59,"3",8128.943
60,"3",4377.149
61,"3",18133.970
62,"5",10004.923
63,"3",5627.758
64,"3",14382.143
65,"3",5002.402
66,"5",6878.363
67,"3",13131.541
68,"5",3126.560
69,"5",9379.640
70,"5",2501.248
71,"3",13756.694
72,"3",4377.129
73,"3",8128.921
74,"3",625.304
75,"3",7503.619
76,"3",625.298
77,"3",14382.140
78,"0",1250.619
79,"3",5627.647
80,"3",12506.086
81,"2",206348.544
82,"2",26888.324
83,"5",6253.124
84,"5",1250.623
85,"2",92544.728
86,"2",3126.543
87,"2",10004.939
88,"3",16883.289
89,"2",20009.852
90,"3",9379.584
91,"0",23047910.310
92,"2",10630.225
93,"3",625.305
