fid,DN,area
1,"1",625.494
2,"1",625.495
3,"1",10007.921
4,"1",121345.196
5,"0",7505.889
6,"0",11258.904
7,"1",61298.460
8,"1",625.494
9,"1",46286.651
10,"1",491639.153
11,"1",5003.964
12,"1",625.494
13,"1",1876.481
14,"1",625.493
15,"1",113214.559
16,"1",370292.431
17,"1",625.495
18,"1",7505.938
19,"1",113214.356
20,"1",3752.960
21,"1",8131.422
22,"1",94449.843
23,"0",23143.323
24,"1",20641.274
25,"1",14386.359
26,"1",10633.388
27,"1",14386.338
28,"1",298986.880
29,"1",1065842.397
30,"0",6254.951
31,"0",625.495
32,"1",787496.914
33,"1",105082.840
34,"1",1876.489
35,"1",67553.367
36,"1",8131.419
37,"1",625.496
38,"1",3127.479
39,"1",252699.591
40,"1",104457.752
41,"1",109461.648
42,"0",625.494
43,"1",67553.639
44,"1",47537.605
45,"1",8756.928
46,"0",625.494
47,"1",88194.659
48,"1",69429.834
49,"1",512904.579
50,"1",86943.594
51,"1",26270.809
52,"1",8131.420
53,"1",625.495
54,"1",625.496
55,"1",117593.233
56,"1",1876.480
57,"1",18764.766
58,"1",5629.457
59,"0",8131.425
60,"0",625.495
61,"1",1250.988
62,"1",625.495
63,"1",523539.170
64,"0",18806177.020
65,"1",1876.484
