fid,DN,area
1,"3",5627.733
2,"2",28764.186
3,"5",5627.776
4,"3",1875.901
5,"2",625.309
6,"3",46272.226
7,"3",220733.282
8,"2",618429.546
9,"1",30640.281
10,"5",11880.891
11,"2",3751.873
12,"2",625.312
13,"1",18759.216
14,"1",10004.978
15,"5",22511.250
16,"1",625.308
17,"5",11880.907
18,"2",406452.149
19,"5",17508.671
20,"1",7503.702
21,"5",11255.501
22,"1",13756.605
23,"3",22511.034
24,"1",11255.414
25,"1",33766.819
26,"1",11880.911
27,"0",1367949.969
28,"2",108804.404
29,"1",106927.589
30,"3",16258.002
31,"5",5002.500
32,"5",23136.246
33,"1",1250.615
34,"0",1372330.637
35,"1",74411.297
36,"1",11255.558
37,"3",1250.619
38,"1",625.308
39,"1",5627.764
40,"1",6253.077
41,"5",1250.626
42,"1",81288.889
43,"2",17508.460
44,"2",158826.932
45,"3",8128.922
46,"5",6253.083
47,"5",11255.479
48,"3",3751.823
49,"5",6252.994
50,"1",26262.847
51,"1",23136.389
52,"3",625.303
53,"1",16257.853
54,"3",2501.214
55,"2",413955.382
56,"2",45021.810
57,"2",6878.263
58,"1",9379.597
59,"3",16257.714
60,"1",18758.885
61,"2",75036.606
62,"1",20635.109
63,"1",4377.149
64,"3",1450093.458
65,"5",6253.089
66,"5",625.303
67,"1",143193.746
68,"1",16257.754
69,"1",21885.804
70,"1",5627.758
71,"5",5002.402
72,"1",15632.433
73,"2",138816.012
74,"3",29389.489
75,"5",16257.920
76,"1",6878.347
77,"1",4377.129
78,"1",625.304
79,"3",111930.801
80,"3",8754.334
81,"1",20009.758
82,"3",1229347.556
83,"5",625.310
84,"3",625.310
85,"5",1250.619
86,"1",12506.086
87,"5",4729151.131
88,"1",39393.738
89,"5",1045520.562
90,"1",11880.676
91,"1",75662.486
92,"5",16883.370
93,"3",6253.124
94,"3",1250.623
95,"1",16257.799
96,"2",5002.394
97,"1",10630.249
98,"5",20634.895
99,"1",625.309
100,"3",167582.764
101,"4",13756.752
102,"5",6253.084
103,"5",6253.004
104,"4",9379.596
105,"3",79413.966
106,"3",1598265.963
107,"5",13131.479
108,"3",45647.493
109,"2",3126.499
110,"1",9379.525
111,"2",625.301
112,"5",21260.412
113,"1",13756.724
114,"0",1360867.211
115,"2",5112502.105
116,"3",75036.770
117,"1",625.305
118,"0",1351477.043
