fid,DN,area
1,"3",6877.378
2,"2",2500.860
3,"3",625.221
4,"3",625.215
5,"3",15005.305
6,"3",13129.615
7,"3",7502.685
8,"3",25008.839
9,"3",36262.306
10,"6",35012.455
11,"3",16881.075
12,"3",6877.489
13,"6",8753.081
14,"2",9378.345
15,"3",110037.381
16,"5",13754.842
17,"2",11253.976
18,"6",6252.209
19,"2",28134.547
20,"1",8752.944
21,"3",15630.180
22,"3",88780.112
23,"3",5001.753
24,"3",63146.222
25,"3",5627.001
26,"6",11879.253
27,"3",5626.898
28,"2",188816.941
29,"2",13129.641
30,"3",38138.839
31,"3",20007.287
32,"2",108789.325
33,"0",29385.678
34,"3",61271.390
35,"2",121919.540
36,"3",53143.127
37,"2",6877.461
38,"3",625.213
39,"2",35637.539
40,"3",5001.731
41,"2",7502.603
42,"2",23758.319
43,"2",28135.006
44,"3",90032.486
45,"6",10003.604
46,"3",1250.430
47,"3",14379.858
48,"3",4376.612
49,"3",36887.381
50,"2",24383.404
51,"1",16255.608
52,"3",21257.251
53,"3",625.214
54,"3",625.218
55,"3",10628.638
56,"3",8127.821
57,"6",6252.096
58,"3",55018.354
59,"3",5626.888
60,"3",28759.753
61,"3",3126.101
62,"3",625.215
63,"2",8753.108
64,"3",2500.882
65,"3",10628.648
66,"2",6877.299
67,"2",80652.563
68,"3",25008.837
69,"3",41264.134
70,"3",6252.143
71,"3",45641.094
72,"3",343872.684
73,"3",105663.384
74,"3",276970.567
75,"3",24383.510
76,"3",4376.496
77,"3",6877.324
78,"3",28134.758
79,"3",113162.975
80,"1",11253.949
81,"2",7502.512
82,"1",21257.135
83,"3",6252.244
84,"2",19381.993
85,"0",625.218
86,"1",6252.233
87,"2",116289.170
88,"3",108162.308
89,"3",9378.345
90,"3",14379.762
91,"3",56894.956
92,"3",10003.590
93,"3",6252.154
94,"3",625.225
95,"3",11253.921
96,"3",625.225
97,"3",125044.714
98,"3",472038.541
99,"3",50017.231
100,"3",625.220
101,"2",5626.954
102,"3",133797.157
103,"3",3126.093
104,"0",20792881.470
