fid,DN,area
1,"3",113211.752
2,"3",119466.984
3,"3",625.482
4,"3",10633.214
5,"0",625.484
6,"3",106332.202
7,"3",140733.600
8,"1",9382.289
9,"1",24393.932
10,"3",11258.694
11,"2",46286.106
12,"3",38154.512
13,"1",6880.313
14,"3",23768.375
15,"3",17513.540
16,"3",13135.143
17,"1",16888.022
18,"1",6880.299
19,"1",2501.927
20,"3",84440.028
21,"4",6880.309
22,"1",6880.300
23,"3",12509.607
24,"1",625.482
25,"3",10633.179
26,"1",8756.744
27,"1",6254.840
28,"5",25644.741
29,"2",5003.852
30,"3",18764.465
31,"3",5003.854
32,"2",8756.747
33,"2",625.481
34,"2",12509.627
35,"1",33776.041
36,"3",6254.791
37,"1",625.482
38,"1",20640.884
39,"1",62548.134
40,"3",5629.326
41,"1",625.481
42,"3",1250.964
43,"3",625.482
44,"0",23690802.000
45,"3",26895.782
