fid,DN,area
1,"3",5003.224
2,"1",6879.445
3,"5",5628.624
4,"3",58162.093
5,"1",91308.891
6,"5",40651.133
7,"3",28768.632
8,"5",88806.661
9,"2",20012.718
10,"5",625.397
11,"5",8755.562
12,"1",25016.131
13,"2",625.406
14,"3",55035.039
15,"1",121954.053
16,"5",21263.633
17,"5",6879.403
18,"2",5003.178
19,"1",132585.286
20,"5",13133.465
21,"3",2501.626
22,"1",8755.646
23,"5",6879.369
24,"5",33146.534
25,"5",625.396
26,"5",1876.187
27,"5",2501.583
28,"5",5628.603
29,"1",13133.516
30,"3",8130.150
31,"5",3752.441
32,"1",48781.456
33,"5",8130.141
34,"5",1250.791
35,"1",6879.465
36,"5",14384.346
37,"3",52533.231
38,"5",9381.019
39,"2",18762.223
40,"1",19387.505
41,"0",1375667.985
42,"2",14384.161
43,"3",6879.347
44,"5",14384.097
45,"5",8130.255
46,"3",10006.397
47,"3",335843.210
48,"1",17511.076
49,"1",51908.451
50,"3",625.404
51,"0",1379416.953
52,"3",45029.058
53,"1",61915.226
54,"5",25641.372
55,"3",2323366.755
56,"5",5003.234
57,"1",625.406
58,"3",33146.513
59,"5",15635.098
60,"3",92558.538
61,"1",6254.059
62,"3",38149.611
63,"2",10006.369
64,"1",625.406
65,"5",6879.381
66,"3",20638.414
67,"3",7504.849
68,"5",15009.566
69,"1",3752.424
70,"5",5628.661
71,"5",36898.963
72,"1",4623572.718
73,"1",5628.630
74,"3",1876.186
75,"1",10006.473
76,"3",1250.791
77,"5",3752.391
78,"3",1876.186
79,"5",36898.306
80,"5",1876.196
81,"3",27517.896
82,"1",6879.420
83,"2",1250.804
84,"5",1250.798
85,"1",6879.343
86,"1",8130.136
87,"5",5003.251
88,"1",85680.297
89,"1",94436.353
90,"5",11882.552
91,"3",5628.652
92,"1",16885.961
93,"4",23139.776
94,"5",7504.839
95,"4",625.398
96,"5",22514.547
97,"5",8130.166
98,"3",73797.207
99,"5",6879.380
100,"5",5628.575
101,"2",75047.418
102,"2",7504.796
103,"2",1250.807
104,"2",625.404
105,"2",1250.808
106,"1",11257.157
107,"5",13758.863
108,"2",1250.808
109,"1",6879.442
110,"5",62540.002
111,"3",625.399
112,"5",13133.372
113,"3",625.397
114,"5",625.397
115,"2",989385.405
116,"2",89432.118
117,"5",10006.416
118,"3",2058811.649
119,"5",3752.380
120,"3",49406.654
121,"1",625.397
122,"5",10631.799
123,"1",15635.032
124,"3",5628.580
125,"3",625.397
126,"3",520960.992
127,"3",2501.583
128,"3",3752.378
129,"4",11882.662
130,"3",23765.193
131,"4",8130.190
132,"5",50657.361
133,"5",15634.954
134,"2",4059502.589
135,"1",328333.745
136,"5",222643.563
137,"3",201379.422
138,"3",116325.089
139,"5",10006.433
140,"3",220140.373
141,"0",1331046.290
142,"1",355228.510
143,"3",49406.845
144,"3",237026.907
145,"1",140715.004
146,"0",1349172.419
