fid,DN,area
1,"2",3752.955
2,"1",625.494
3,"2",44409.439
4,"3",31900.212
5,"3",625.495
6,"3",10007.921
7,"1",41282.625
8,"5",7505.943
9,"0",7505.889
10,"0",11258.904
11,"3",61298.460
12,"3",625.494
13,"3",46286.651
14,"3",471623.312
15,"2",5003.964
16,"5",7505.924
17,"1",12509.902
18,"5",625.494
19,"2",6254.939
20,"3",1876.481
21,"3",625.493
22,"3",348400.157
23,"3",113214.559
24,"2",9382.413
25,"5",10633.423
26,"2",8131.417
27,"3",6880.449
28,"3",625.495
29,"3",7505.938
30,"3",113214.356
31,"1",7505.937
32,"5",9382.410
33,"5",3752.960
34,"3",8131.422
35,"2",76935.972
36,"0",23143.323
37,"3",20641.274
38,"3",14386.359
39,"2",66302.375
40,"3",227054.561
41,"3",10633.388
42,"3",290855.071
43,"2",6880.443
44,"5",625.495
45,"5",30649.259
46,"5",10007.913
47,"2",625.495
48,"3",1876.486
49,"3",1876.485
50,"1",14386.338
51,"3",1876.485
52,"3",298986.880
53,"3",1036444.167
54,"1",35653.131
55,"0",6254.951
56,"3",16888.332
57,"0",625.495
58,"3",9382.403
59,"3",24394.306
60,"2",127601.002
61,"1",5629.443
62,"5",7505.922
63,"3",76310.028
64,"2",10007.934
65,"3",8756.939
66,"5",10007.931
67,"3",1876.489
68,"3",193277.619
69,"2",135106.627
70,"3",70055.495
71,"3",67553.367
72,"3",8131.419
73,"2",32525.715
74,"3",11884.382
75,"3",625.496
76,"3",3127.479
77,"3",10633.411
78,"5",72557.237
79,"1",6880.430
80,"5",10007.937
81,"2",94449.797
82,"5",6254.939
83,"1",10633.424
84,"5",11258.929
85,"3",10007.911
86,"3",17513.692
87,"5",15637.293
88,"0",625.494
89,"3",67553.639
90,"3",47537.605
91,"5",8756.928
92,"2",13135.373
93,"0",625.494
94,"3",178265.544
95,"3",75059.286
96,"3",61923.901
97,"2",7505.942
98,"2",17513.825
99,"3",86943.594
100,"3",26270.809
101,"3",8131.420
102,"3",625.495
103,"3",625.496
104,"3",117593.233
105,"3",1876.480
106,"3",18764.766
107,"2",22517.812
108,"4",5629.457
109,"0",8131.425
110,"2",185146.367
111,"0",625.495
112,"1",1250.988
113,"1",625.495
114,"3",315874.937
115,"0",18806177.020
116,"5",1876.484
