fid,DN,area
1,"1",113211.752
2,"1",119466.984
3,"1",625.482
4,"1",10633.214
5,"0",625.484
6,"1",140733.600
7,"1",140108.428
8,"1",11258.694
9,"1",91320.928
10,"1",23768.375
11,"1",17513.540
12,"1",13135.143
13,"1",16888.022
14,"1",6880.299
15,"1",2501.927
16,"1",84440.028
17,"1",6880.309
18,"1",6880.300
19,"1",12509.607
20,"1",625.482
21,"1",10633.179
22,"1",6254.840
23,"1",39405.347
24,"1",33776.041
25,"1",6254.791
26,"1",625.482
27,"1",108208.300
28,"1",5629.326
29,"1",625.481
30,"1",1250.964
31,"1",625.482
32,"0",23690802.000
33,"1",47536.654
