fid,DN,area
1,"1",625.489
2,"1",12509.795
3,"2",9382.368
4,"1",28772.688
5,"1",10633.332
6,"1",25019.554
7,"1",180766.638
8,"1",22517.707
9,"3",574822.677
10,"1",16262.725
11,"1",49413.564
12,"0",37529.275
13,"1",33150.956
14,"1",25019.597
15,"0",18764.622
16,"1",30649.070
17,"3",26270.465
18,"5",6254.881
19,"1",8131.369
20,"0",123846.569
21,"3",6254.903
22,"3",5629.398
23,"2",211414.603
24,"1",100078.350
25,"1",40656.759
26,"0",625.489
27,"0",20015.641
28,"1",19390.151
29,"1",8756.835
30,"2",1775759.153
31,"3",21266.578
32,"5",10633.293
33,"1",11884.307
34,"2",5629.380
35,"5",12509.830
36,"3",302736.050
37,"3",15011.744
38,"5",13135.160
39,"3",20015.656
40,"3",6880.381
41,"2",4378.413
42,"2",5003.911
43,"3",38154.817
44,"1",8756.842
45,"2",4378.414
46,"3",5003.900
47,"2",9382.334
48,"1",9382.353
49,"2",50664.521
50,"2",152619.174
51,"2",280845.035
52,"2",8131.364
53,"2",1876.463
54,"2",5003.914
55,"2",625.489
56,"2",625.488
57,"2",5629.404
58,"3",13760.762
59,"1",20641.150
60,"2",138232.696
61,"1",11884.290
62,"0",20146343.630
