fid,DN,area
1,"1",9378.243
2,"1",625.221
3,"1",625.215
4,"1",15005.305
5,"1",13129.615
6,"1",7502.685
7,"1",25008.839
8,"1",36262.306
9,"1",35012.455
10,"1",16881.075
11,"1",6877.489
12,"1",9378.345
13,"1",22507.921
14,"1",110037.381
15,"1",17506.188
16,"1",52517.629
17,"1",88780.112
18,"1",5001.753
19,"1",63146.222
20,"1",5626.898
21,"0",29385.678
22,"1",288854.993
23,"1",53143.127
24,"1",6877.461
25,"1",625.213
26,"1",12504.331
27,"1",85029.693
28,"1",373257.969
29,"1",10003.604
30,"1",14379.858
31,"1",4376.612
32,"1",36887.381
33,"1",63146.725
34,"1",625.214
35,"1",625.218
36,"1",10628.638
37,"1",8127.821
38,"1",11878.989
39,"1",55018.354
40,"1",28759.753
41,"1",3126.101
42,"1",625.215
43,"1",2500.882
44,"1",10628.648
45,"1",25008.837
46,"1",128168.838
47,"1",45641.094
48,"1",352625.794
49,"1",105663.384
50,"1",276970.567
51,"1",24383.510
52,"1",4376.496
53,"1",6877.324
54,"1",28134.758
55,"1",148799.930
56,"1",6252.244
57,"1",19381.993
58,"0",625.218
59,"1",114414.527
60,"1",9378.345
61,"1",130668.888
62,"1",56894.956
63,"1",10003.590
64,"1",6252.154
65,"1",625.225
66,"1",11253.921
67,"1",625.225
68,"1",125044.714
69,"1",483292.483
70,"1",50017.231
71,"1",625.220
72,"1",5626.954
73,"1",133797.157
74,"1",3126.093
75,"0",20792881.470
