fid,DN,area
1,"1",14369.533
2,"1",4998.115
3,"1",7497.161
4,"1",24990.357
5,"1",24990.623
6,"0",27489.691
7,"0",7497.120
8,"1",339245.029
9,"0",42484.010
10,"0",50606.037
11,"1",3123.815
12,"1",22491.177
13,"1",1249.525
14,"1",8121.981
15,"0",1249.529
16,"1",1874.306
17,"1",624.768
18,"1",4998.082
19,"0",6872.413
20,"0",624.769
21,"0",8121.863
22,"0",14369.361
23,"0",9371.311
24,"0",6247.652
25,"0",90590.838
26,"1",19367.474
27,"0",30613.649
28,"0",9371.515
29,"1",288012.013
30,"1",41233.962
31,"1",24990.336
32,"1",11870.347
33,"1",23116.212
34,"0",31238.027
35,"1",83717.057
36,"1",21866.896
37,"1",7497.221
38,"1",564790.411
39,"1",890915.642
40,"1",24365.533
41,"1",24989.750
42,"1",3123.833
43,"1",691608.331
44,"1",59351.785
45,"1",1249.530
46,"1",47481.245
47,"1",7497.142
48,"0",6247.702
49,"1",177434.586
50,"1",113081.336
51,"1",4998.090
52,"1",213669.953
53,"1",10620.799
54,"1",18742.534
55,"1",5622.901
56,"1",4998.141
57,"1",3748.523
58,"0",3748.625
59,"0",7497.165
60,"1",53104.569
61,"1",33111.894
62,"1",9371.320
63,"1",217414.948
64,"1",19367.646
65,"1",38734.485
66,"1",44357.566
67,"1",6872.365
68,"0",5622.921
69,"0",20617.458
70,"0",68099.557
71,"1",8121.798
72,"1",624.761
73,"1",383605.877
74,"1",8121.848
75,"1",331752.742
76,"1",6872.449
77,"1",40608.979
78,"1",73722.137
79,"1",68099.096
80,"1",44357.726
81,"1",21241.871
82,"1",128699.515
83,"1",7497.113
84,"1",6872.359
85,"1",1874.279
86,"1",9371.381
87,"1",1249.519
88,"1",25615.240
89,"1",16243.644
90,"1",13744.888
91,"1",196176.446
92,"1",20616.946
93,"1",6247.592
94,"1",23116.029
95,"1",13744.819
96,"1",1874.303
97,"1",4998.144
98,"1",6872.443
99,"1",6872.308
100,"1",9996.206
101,"1",2499.069
102,"1",5622.834
103,"1",11870.476
104,"1",33736.898
105,"1",4373.351
106,"0",13026274.330
