fid,DN,area
1,"5",625.489
2,"5",12509.795
3,"3",9382.368
4,"3",28772.688
5,"3",10633.332
6,"2",25019.554
7,"3",45035.263
8,"5",44409.928
9,"3",91321.453
10,"3",22517.707
11,"2",574822.677
12,"5",16262.725
13,"3",49413.564
14,"0",37529.275
15,"3",33150.956
16,"3",25019.597
17,"0",18764.622
18,"3",30649.070
19,"2",26270.465
20,"5",8131.369
21,"0",123846.569
22,"3",38154.879
23,"5",5629.398
24,"3",211414.603
25,"5",68178.447
26,"0",625.489
27,"0",20015.641
28,"3",8756.835
29,"3",1842060.940
30,"3",11884.307
31,"5",6254.879
32,"3",5629.380
33,"3",12509.830
34,"2",328381.041
35,"2",15011.744
36,"3",13135.160
37,"2",20015.656
38,"2",6880.381
39,"3",4378.413
40,"3",5003.911
41,"2",38154.817
42,"3",13135.255
43,"5",5003.900
44,"3",9382.334
45,"2",9382.353
46,"3",50664.521
47,"3",152619.174
48,"3",280845.035
49,"3",8131.364
50,"3",1876.463
51,"3",5003.914
52,"3",625.489
53,"3",625.488
54,"3",5629.404
55,"1",13760.762
56,"3",20641.150
57,"3",138232.696
58,"3",11884.290
59,"0",20146343.630
