fid,DN,area
1,"2",5003.224
2,"2",54410.040
3,"3",5628.624
4,"3",1876.194
5,"3",8130.225
6,"3",7504.786
7,"3",5628.620
8,"6",1250.805
9,"6",2501.609
10,"3",8130.217
11,"2",28768.632
12,"3",8755.660
13,"6",1250.804
14,"3",68793.749
15,"1",625.397
16,"1",8755.562
17,"3",5628.614
18,"1",6879.454
19,"3",21263.633
20,"3",6879.403
21,"3",50031.804
22,"2",6879.420
23,"2",13758.761
24,"3",26892.351
25,"2",5003.274
26,"1",6879.369
27,"5",11257.320
28,"3",20012.703
29,"1",625.396
30,"3",1250.791
31,"3",2501.583
32,"3",5628.603
33,"3",3752.441
34,"1",8130.141
35,"3",1250.791
36,"3",70044.496
37,"1",7504.875
38,"3",9381.019
39,"2",15009.720
40,"3",41901.546
41,"3",18762.223
42,"3",14384.161
43,"1",6879.352
44,"3",7504.749
45,"2",257667.403
46,"3",12508.045
47,"3",22514.519
48,"1",625.404
49,"3",13758.755
50,"1",9381.030
51,"1",6254.063
52,"2",165105.925
53,"3",5003.234
54,"1",10631.783
55,"5",13133.481
56,"2",38149.611
57,"1",6879.381
58,"0",20638.414
59,"2",80676.894
60,"3",16260.379
61,"3",17511.078
62,"3",15009.566
63,"3",17511.309
64,"3",3752.391
65,"3",155726.101
66,"3",43152.304
67,"1",10631.902
68,"3",1876.196
69,"3",1250.798
70,"2",15634.943
71,"3",11882.552
72,"0",5628.652
73,"3",28768.529
74,"3",8755.570
75,"5",5003.182
76,"2",93809.783
77,"3",625.398
78,"2",25015.839
79,"3",71921.317
80,"2",73797.207
81,"5",1250.795
82,"3",4377.847
83,"3",6879.380
84,"3",88806.383
85,"3",227646.377
86,"3",1250.807
87,"3",625.404
88,"3",1250.808
89,"3",11257.157
90,"3",1250.808
91,"0",6879.442
92,"0",8755.612
93,"3",625.404
94,"2",52533.888
95,"3",77550.042
96,"3",5628.598
97,"3",625.397
98,"3",26266.748
99,"3",46279.810
100,"3",3752.380
101,"2",34397.086
102,"5",6254.002
103,"1",5628.580
104,"1",625.397
105,"3",739229.055
106,"1",2501.583
107,"3",19387.530
108,"5",6254.037
109,"3",18136.656
110,"1",44403.501
111,"3",65041.684
112,"1",8130.190
113,"3",11882.600
114,"3",250159.698
115,"6",8755.655
116,"3",24390.736
117,"1",13133.468
118,"1",10006.433
119,"3",26266.858
120,"3",20638.339
121,"2",19387.460
122,"3",57536.884
123,"0",20901532.430
