fid,DN,area
1,"3",3123.806
2,"2",14369.533
3,"5",4998.115
4,"5",4998.114
5,"3",7497.161
6,"2",21866.578
7,"1",17493.420
8,"1",19992.495
9,"2",18118.041
10,"0",27489.691
11,"0",7497.120
12,"2",54354.072
13,"5",4998.121
14,"3",6872.359
15,"5",8121.915
16,"0",42484.010
17,"5",28114.397
18,"2",218041.591
19,"1",14369.510
20,"5",13744.718
21,"5",5622.848
22,"0",50606.037
23,"3",6872.342
24,"5",9371.391
25,"3",3123.815
26,"2",13744.600
27,"3",1249.525
28,"3",8746.577
29,"3",8121.981
30,"0",1249.529
31,"3",1874.306
32,"3",624.768
33,"5",14994.340
34,"5",4998.082
35,"2",47481.640
36,"0",6872.413
37,"3",19992.423
38,"1",11870.548
39,"0",624.769
40,"5",5622.902
41,"2",64974.718
42,"0",8121.863
43,"0",14369.361
44,"5",64350.491
45,"2",71222.036
46,"0",9371.311
47,"3",24990.683
48,"2",457329.115
49,"0",6247.652
50,"0",90590.838
51,"2",19367.474
52,"3",93088.803
53,"1",28114.377
54,"0",30613.649
55,"2",10620.871
56,"1",24365.470
57,"1",94340.222
58,"1",624.771
59,"5",172433.649
60,"3",21866.765
61,"5",8746.672
62,"2",12495.299
63,"2",59976.911
64,"1",9371.438
65,"5",6247.585
66,"0",9371.515
67,"3",173056.897
68,"1",31862.622
69,"2",11870.347
70,"5",4998.099
71,"2",18742.738
72,"2",9371.351
73,"0",31238.027
74,"3",41859.600
75,"1",8746.568
76,"5",4998.109
77,"2",337999.164
78,"5",77470.898
79,"2",83717.057
80,"2",41859.627
81,"5",21866.896
82,"1",44358.391
83,"2",4998.027
84,"1",7497.221
85,"5",6872.412
86,"1",24365.442
87,"3",16868.342
88,"1",9371.499
89,"2",24365.533
90,"5",42484.188
91,"3",50605.923
92,"3",21866.469
93,"3",21866.230
94,"1",3123.770
95,"5",6247.521
96,"2",3123.833
97,"1",237408.894
98,"5",8121.836
99,"2",1249.530
100,"5",11245.811
101,"1",24365.376
102,"3",7497.142
103,"0",6247.702
104,"2",58103.336
105,"3",11245.881
106,"2",166188.705
107,"5",3748.536
108,"3",113081.336
109,"3",90591.018
110,"5",4998.090
111,"2",30613.526
112,"2",18117.937
113,"2",10620.799
114,"1",6872.368
115,"3",13120.161
116,"5",5622.901
117,"2",4998.141
118,"2",13744.801
119,"5",11870.261
120,"3",3748.523
121,"3",64974.560
122,"2",3748.624
123,"1",64974.646
124,"2",19367.323
125,"0",3748.625
126,"3",15619.140
127,"1",36860.495
128,"2",31238.526
129,"1",7497.186
130,"1",34986.539
131,"5",33112.580
132,"0",7497.165
133,"2",18117.977
134,"3",25614.890
135,"5",13744.556
136,"1",60601.710
137,"3",9371.320
138,"1",11245.576
139,"2",43108.894
140,"2",28738.806
141,"1",8121.963
142,"1",19367.646
143,"3",82469.682
144,"1",29988.867
145,"3",4998.021
146,"3",7497.050
147,"5",4998.148
148,"1",6872.365
149,"2",32487.094
150,"0",5622.921
151,"2",24990.739
152,"5",6247.657
153,"3",74972.097
154,"3",1249.505
155,"0",20617.458
156,"2",56854.090
157,"0",68099.557
158,"1",8746.754
159,"2",18118.256
160,"2",8121.798
161,"1",624.761
162,"3",13744.667
163,"3",124328.380
164,"3",50606.337
165,"1",8121.848
166,"5",4373.290
167,"2",16868.751
168,"2",46231.825
169,"1",6872.449
170,"3",40608.979
171,"3",73722.137
172,"3",68099.096
173,"3",28114.117
174,"5",4373.327
175,"1",16243.560
176,"3",16868.518
177,"3",64349.771
178,"5",7497.113
179,"3",6872.359
180,"3",11245.597
181,"3",1874.279
182,"1",9371.381
183,"3",1249.519
184,"3",25615.240
185,"2",145570.445
186,"2",13744.888
187,"3",50606.024
188,"3",20616.946
189,"5",6247.592
190,"3",23116.029
191,"1",13744.819
192,"1",4998.046
193,"3",1874.303
194,"3",4998.144
195,"3",6872.443
196,"2",6872.308
197,"2",9996.206
198,"1",2499.069
199,"5",5622.834
200,"3",11870.476
201,"3",33736.898
202,"2",4373.351
203,"0",13026274.330
