fid,DN,area
1,"1",113211.752
2,"1",119466.984
3,"1",625.482
4,"1",10633.214
5,"0",625.484
6,"1",106332.202
7,"1",140733.600
8,"3",9382.289
9,"3",24393.932
10,"1",11258.694
11,"3",46286.106
12,"2",38154.512
13,"3",6880.313
14,"1",23768.375
15,"1",17513.540
16,"1",13135.143
17,"3",16888.022
18,"3",6880.299
19,"3",2501.927
20,"1",84440.028
21,"1",6880.309
22,"3",6880.300
23,"1",12509.607
24,"3",625.482
25,"1",10633.179
26,"3",8756.744
27,"3",6254.840
28,"3",25644.741
29,"3",5003.852
30,"1",18764.465
31,"5",13760.603
32,"3",33776.041
33,"1",6254.791
34,"3",625.482
35,"3",20640.884
36,"3",75683.241
37,"1",5629.326
38,"3",625.481
39,"1",1250.964
40,"1",625.482
41,"0",23690802.000
42,"2",26895.782
