fid,DN,area
1,"2",6877.378
2,"3",2500.860
3,"5",625.221
4,"5",625.215
5,"5",15005.305
6,"5",13129.615
7,"5",7502.685
8,"2",8753.087
9,"5",8753.100
10,"5",7502.647
11,"2",36262.306
12,"5",35012.455
13,"5",16881.075
14,"5",6877.489
15,"5",8753.081
16,"5",9378.345
17,"2",110037.381
18,"2",13754.842
19,"3",11253.976
20,"5",15630.270
21,"1",10628.607
22,"4",6252.209
23,"3",36887.491
24,"2",15630.180
25,"5",17505.932
26,"2",36887.586
27,"1",8127.761
28,"1",5001.753
29,"2",63146.222
30,"2",5627.001
31,"5",5626.898
32,"3",162557.639
33,"5",25008.880
34,"2",38138.839
35,"2",20007.287
36,"3",108789.325
37,"0",29385.678
38,"2",30635.443
39,"5",11253.984
40,"2",56269.626
41,"1",36262.825
42,"3",121919.540
43,"5",22507.684
44,"5",6877.461
45,"5",5001.748
46,"5",625.213
47,"3",35637.539
48,"2",5001.731
49,"3",7502.603
50,"3",23758.319
51,"2",62522.236
52,"3",28135.006
53,"1",6252.211
54,"5",10003.604
55,"1",1250.430
56,"1",14379.858
57,"1",4376.612
58,"1",5001.719
59,"2",36887.381
60,"2",11253.827
61,"3",40639.026
62,"1",625.214
63,"1",4376.493
64,"1",625.214
65,"5",625.218
66,"1",10628.638
67,"5",8127.821
68,"5",11878.989
69,"2",55018.354
70,"1",28759.753
71,"5",7502.589
72,"5",3126.101
73,"5",625.215
74,"5",8753.108
75,"5",2500.882
76,"2",201319.461
77,"1",10628.753
78,"5",6252.119
79,"2",10628.648
80,"3",6877.299
81,"5",6252.166
82,"3",80652.563
83,"2",25008.837
84,"2",101286.827
85,"1",35012.014
86,"2",6252.143
87,"2",35012.340
88,"2",343872.684
89,"4",11879.081
90,"2",30635.579
91,"2",24383.510
92,"1",4376.496
93,"5",31260.794
94,"5",4376.593
95,"1",6877.324
96,"1",16255.670
97,"2",91905.839
98,"3",11253.949
99,"1",8127.720
100,"5",41889.035
101,"1",6252.244
102,"5",19381.993
103,"0",625.218
104,"5",18131.449
105,"3",116289.170
106,"2",96283.085
107,"1",9378.345
108,"2",14379.762
109,"2",56894.956
110,"2",10003.590
111,"5",6252.154
112,"2",625.225
113,"1",11253.921
114,"2",625.225
115,"2",125044.714
116,"2",472038.541
117,"2",118166.655
118,"2",50017.231
119,"1",625.220
120,"1",11253.949
121,"1",5626.954
122,"2",4376.539
123,"1",3126.093
124,"0",20792881.470
