fid,DN,area
1,"3",625.495
2,"2",3752.955
3,"1",625.494
4,"3",625.495
5,"5",6880.441
6,"1",41282.625
7,"4",31900.214
8,"1",7505.889
9,"5",18764.847
10,"2",3127.479
11,"2",93198.950
12,"5",8131.440
13,"1",11884.391
14,"3",625.494
15,"5",7505.924
16,"1",12509.893
17,"5",6880.439
18,"1",625.495
19,"5",625.494
20,"1",28772.748
21,"3",1876.481
22,"3",625.493
23,"3",13760.872
24,"5",8131.422
25,"3",377798.369
26,"3",1169675.338
27,"1",8756.920
28,"5",15637.390
29,"1",191401.489
30,"3",6880.449
31,"3",113214.356
32,"2",1334804.219
33,"1",7505.937
34,"1",26896.308
35,"5",9382.410
36,"1",11258.935
37,"2",577956.331
38,"3",20641.274
39,"3",14386.359
40,"5",40657.143
41,"0",1330224.356
42,"0",1363370.052
43,"3",973269.662
44,"2",6880.443
45,"5",625.495
46,"3",84441.560
47,"5",53167.085
48,"3",5629.462
49,"5",10007.913
50,"3",1876.486
51,"3",22517.771
52,"3",1876.485
53,"1",14386.338
54,"3",1876.485
55,"3",309620.276
56,"3",29398.204
57,"1",35653.131
58,"3",9382.403
59,"3",30649.252
60,"1",5629.443
61,"1",10007.933
62,"2",3752.975
63,"3",34402.168
64,"1",26270.678
65,"2",10007.934
66,"1",16262.842
67,"2",1017678.658
68,"2",32525.715
69,"5",51916.130
70,"5",906965.839
71,"1",6880.430
72,"5",10007.937
73,"5",11884.393
74,"5",11258.920
75,"5",25645.477
76,"1",25019.798
77,"5",625.494
78,"5",10633.401
79,"5",8756.928
80,"5",47537.476
81,"2",25019.770
82,"5",6254.942
83,"5",26896.227
84,"1",102581.264
85,"2",126975.381
86,"2",4084485.551
87,"5",8131.421
88,"5",625.494
89,"5",625.494
90,"3",3752.963
91,"4",5629.457
92,"2",230181.700
93,"3",4512317.638
94,"2",1654432.685
95,"1",1250.988
96,"1",625.495
97,"5",3127.472
98,"5",17513.947
99,"0",1377562.491
100,"3",377173.426
101,"2",42533.669
102,"5",1876.484
103,"0",1365042.015
