fid,DN,area
1,"3",625.465
2,"3",1250.930
3,"3",1250.930
4,"3",625.465
5,"3",625.465
6,"2",625.464
7,"5",33149.438
8,"3",35026.039
9,"1",9382.000
10,"3",5003.726
11,"3",71928.694
12,"3",15011.211
13,"4",13134.805
14,"3",39404.439
15,"3",4378.244
16,"3",11883.816
17,"3",8131.057
18,"5",3127.342
19,"5",625.469
20,"2",1149609.316
21,"2",7505.704
22,"5",8131.060
23,"3",407178.599
24,"5",6880.168
25,"1",10632.955
26,"3",9382.005
27,"1",6254.667
28,"4",1250.937
29,"4",21265.770
30,"2",16887.680
31,"4",7505.560
32,"3",521015.676
33,"4",9382.010
34,"3",3752.817
35,"4",3752.814
36,"4",1250.927
37,"3",625.470
38,"4",6254.667
39,"2",2069664.783
40,"2",74430.148
41,"4",40655.364
42,"5",318988.239
43,"5",5003.749
44,"2",6254.682
45,"5",9382.016
46,"4",45658.925
47,"4",3127.332
48,"4",10007.502
49,"3",139479.516
50,"2",16887.633
51,"4",625.466
52,"1",104453.080
53,"2",23767.754
54,"0",1330171.097
55,"4",30022.229
56,"3",20015.005
57,"4",18138.525
58,"2",6880.091
59,"4",3752.780
60,"0",1355809.881
61,"5",31273.223
62,"3",13760.326
63,"4",6254.666
64,"2",12509.357
65,"3",22516.722
66,"4",5629.168
67,"4",5003.734
68,"5",238303.898
69,"2",571678.362
70,"1",6880.092
71,"2",303976.914
72,"4",8131.070
73,"4",625.467
74,"3",31898.716
75,"4",3752.803
76,"4",625.467
77,"4",1876.400
78,"2",13760.359
79,"5",52539.373
80,"2",59419.054
81,"4",10007.480
82,"1",7505.556
83,"2",625.469
84,"2",1068919.252
85,"2",14385.667
86,"4",34400.865
87,"2",6254.686
88,"5",76306.620
89,"1",16887.644
90,"1",74430.313
91,"5",55041.189
92,"2",18138.518
93,"4",10632.970
94,"2",192642.644
95,"2",7505.625
96,"4",4378.282
97,"4",625.469
98,"2",305853.651
99,"2",31273.467
100,"4",10632.971
101,"3",21265.890
102,"2",248934.647
103,"3",2211029.227
104,"3",113834.795
105,"4",8756.566
106,"3",2987216.812
107,"3",11883.849
108,"3",1250.937
109,"1",105078.589
110,"5",625.468
111,"5",625.468
112,"2",18763.682
113,"5",625.468
114,"5",14385.766
115,"2",209531.692
116,"2",625.465
117,"1",3179244.189
118,"5",16262.151
119,"0",1378749.676
120,"3",1393541.690
121,"1",48160.866
122,"5",4378.271
123,"0",1370609.220
