fid,DN,area
1,"1",625.465
2,"1",625.465
3,"1",625.465
4,"0",9381.993
5,"0",43782.277
6,"1",43157.203
7,"1",21265.876
8,"1",625.469
9,"0",11883.816
10,"1",14385.751
11,"1",625.469
12,"1",91943.670
13,"1",165123.698
14,"1",9382.005
15,"0",3752.814
16,"1",1827608.966
17,"1",74430.148
18,"0",11258.398
19,"1",370277.450
20,"1",64423.034
21,"1",23767.754
22,"1",20015.005
23,"1",6880.091
24,"1",161995.642
25,"1",243305.619
26,"1",502876.201
27,"1",9381.949
28,"1",6880.096
29,"1",133850.323
30,"1",130097.172
31,"1",85688.549
32,"1",31898.883
33,"1",46910.167
34,"1",175130.174
35,"1",14385.667
36,"1",7505.570
37,"1",19389.538
38,"1",62546.699
39,"1",18138.518
40,"1",8131.053
41,"1",7505.625
42,"1",31273.467
43,"1",174504.195
44,"1",54415.358
45,"1",263945.750
46,"1",8131.030
47,"1",625.464
48,"1",6880.154
49,"1",11883.849
50,"1",204527.930
51,"1",625.464
52,"1",195770.623
53,"1",3752.796
54,"0",19332895.500
