fid,DN,area
1,"3",5627.733
2,"5",11880.718
3,"5",8754.265
4,"3",86292.300
5,"3",11880.880
6,"5",65031.719
7,"5",26887.959
8,"2",159453.418
9,"5",7503.640
10,"5",625.304
11,"3",85666.976
12,"5",10004.864
13,"3",15007.491
14,"1",1250.615
15,"1",1250.616
16,"1",2501.232
17,"2",35642.349
18,"5",10630.095
19,"1",10004.978
20,"1",625.308
21,"2",6878.367
22,"1",7503.702
23,"1",11255.414
24,"1",26263.084
25,"1",30014.431
26,"2",21885.585
27,"5",16883.012
28,"1",4377.138
29,"5",10630.167
30,"3",26888.372
31,"5",6252.974
32,"3",7503.646
33,"1",11255.558
34,"5",41895.166
35,"2",16257.881
36,"5",1250.626
37,"3",33766.912
38,"1",15632.478
39,"1",16883.307
40,"5",22511.257
41,"5",6253.083
42,"5",6252.994
43,"5",8754.176
44,"1",16883.347
45,"3",75036.358
46,"2",10630.287
47,"5",11880.786
48,"1",9379.597
49,"5",6878.315
50,"2",75036.606
51,"1",20635.109
52,"5",8128.943
53,"1",4377.149
54,"5",6253.089
55,"1",21885.804
56,"1",5627.758
57,"5",14382.143
58,"5",5002.402
59,"3",6878.363
60,"5",13131.541
61,"5",6878.345
62,"3",3126.560
63,"3",9379.640
64,"3",2501.248
65,"1",6878.347
66,"1",4377.129
67,"5",8128.921
68,"1",625.304
69,"5",7503.619
70,"1",625.298
71,"1",14382.140
72,"0",1250.619
73,"1",5627.647
74,"1",12506.086
75,"3",194467.868
76,"1",11880.676
77,"1",26888.324
78,"3",6253.124
79,"3",1250.623
80,"3",92544.728
81,"3",3126.543
82,"3",10004.939
83,"2",16883.289
84,"3",20009.852
85,"1",9379.584
86,"0",23047910.310
87,"3",10630.225
88,"1",625.305
