fid,DN,area
1,"1",625.483
2,"0",1316401.162
3,"0",1363312.557
4,"1",1229074.885
5,"2",46286.106
6,"1",21891.901
7,"3",23768.375
8,"1",161374.348
9,"1",18764.428
10,"1",21266.414
11,"1",625.484
12,"1",6880.299
13,"1",34401.539
14,"1",2501.927
15,"4",66301.154
16,"1",6880.296
17,"1",6880.300
18,"1",625.482
19,"1",15011.613
20,"1",25644.745
21,"5",25644.741
22,"2",5003.852
23,"1",9382.223
24,"2",8756.747
25,"2",625.481
26,"2",12509.627
27,"1",40656.345
28,"1",73806.802
29,"1",63799.022
30,"1",20640.884
31,"1",625.481
32,"0",1360691.955
33,"3",17362105.140
34,"0",1416981.977
