fid,DN,area
1,"1",5003.224
2,"1",54410.040
3,"1",5628.624
4,"1",1876.194
5,"1",8130.225
6,"1",7504.786
7,"1",6879.424
8,"1",2501.609
9,"1",8130.217
10,"1",28768.632
11,"1",8755.660
12,"1",1250.804
13,"1",78174.709
14,"1",5628.614
15,"1",6879.454
16,"1",21263.633
17,"1",6879.403
18,"1",6879.420
19,"1",40651.133
20,"1",5003.274
21,"1",76923.867
22,"1",625.396
23,"1",1250.791
24,"1",2501.583
25,"1",5628.603
26,"1",1250.791
27,"1",70044.496
28,"1",9381.019
29,"1",50031.689
30,"1",14384.161
31,"1",14384.097
32,"1",298944.252
33,"1",625.404
34,"1",18762.106
35,"1",13758.755
36,"1",165105.925
37,"1",65042.005
38,"1",10631.783
39,"1",6879.381
40,"0",20638.414
41,"1",80676.894
42,"1",16260.379
43,"1",17511.078
44,"1",15009.566
45,"1",55660.915
46,"1",155726.101
47,"1",43152.304
48,"1",15634.943
49,"0",5628.652
50,"1",28768.529
51,"1",110070.146
52,"1",16885.738
53,"1",1250.795
54,"1",4377.847
55,"1",6879.380
56,"1",113822.193
57,"1",301443.653
58,"1",625.404
59,"1",1250.808
60,"1",11257.157
61,"0",6879.442
62,"0",8755.612
63,"1",205132.266
64,"1",5628.598
65,"1",625.397
66,"1",26266.748
67,"1",3752.380
68,"1",5628.580
69,"1",625.397
70,"1",2501.583
71,"1",19387.530
72,"1",11882.600
73,"1",446535.799
74,"1",758616.591
75,"1",70045.140
76,"1",76299.102
77,"1",57536.884
78,"0",20901532.430
