fid,DN,area
1,"2",3123.806
2,"3",14369.533
3,"2",4998.115
4,"3",624.765
5,"1",4998.114
6,"3",624.765
7,"2",4998.115
8,"2",7497.161
9,"3",624.765
10,"3",21866.578
11,"3",19992.495
12,"4",10621.003
13,"1",14994.344
14,"3",18118.041
15,"0",27489.691
16,"0",7497.120
17,"3",54354.072
18,"1",4998.121
19,"3",231786.363
20,"2",14994.234
21,"0",42484.010
22,"5",14369.510
23,"2",5622.848
24,"0",50606.037
25,"2",6872.342
26,"2",3123.815
27,"3",13744.600
28,"2",1249.525
29,"2",8746.577
30,"3",16868.603
31,"2",8121.981
32,"0",1249.529
33,"2",1874.306
34,"2",624.768
35,"1",8121.939
36,"2",26864.820
37,"3",4998.082
38,"0",6872.413
39,"4",1249.526
40,"2",7497.157
41,"0",624.769
42,"3",29988.546
43,"0",8121.863
44,"0",14369.361
45,"2",15618.993
46,"3",71222.036
47,"0",9371.311
48,"2",24990.683
49,"3",476696.843
50,"0",6247.652
51,"1",19367.746
52,"0",90590.838
53,"3",19367.474
54,"2",103709.709
55,"4",36861.069
56,"1",6872.367
57,"0",30613.649
58,"3",34986.388
59,"2",16243.881
60,"3",321126.023
61,"1",8746.672
62,"3",9371.438
63,"0",9371.515
64,"2",173056.897
65,"3",41233.962
66,"2",36860.873
67,"3",24990.336
68,"3",11870.347
69,"1",4998.099
70,"1",6872.416
71,"0",31238.027
72,"6",8121.788
73,"2",142447.369
74,"3",8746.568
75,"3",76221.353
76,"1",4998.109
77,"3",337999.164
78,"3",75595.265
79,"3",41859.627
80,"3",21866.896
81,"1",13744.837
82,"5",29364.054
83,"5",7497.221
84,"4",24365.669
85,"2",76220.672
86,"1",624.758
87,"3",29363.486
88,"5",9371.499
89,"2",57478.265
90,"3",24365.533
91,"6",36236.514
92,"2",5622.914
93,"2",624.768
94,"2",21866.469
95,"2",24989.750
96,"3",3123.833
97,"3",99961.675
98,"3",8121.836
99,"3",1249.530
100,"2",41233.701
101,"3",69349.149
102,"3",6247.538
103,"1",7497.142
104,"0",6247.702
105,"2",11245.881
106,"3",166188.705
107,"2",112456.574
108,"2",90591.018
109,"3",4998.090
110,"3",30613.526
111,"3",10620.799
112,"3",10620.906
113,"2",13120.161
114,"6",4998.148
115,"3",624.768
116,"3",4998.141
117,"3",13744.801
118,"1",8121.859
119,"3",28738.736
120,"2",3748.523
121,"3",3748.624
122,"2",77469.676
123,"3",56228.110
124,"0",3748.625
125,"2",26239.679
126,"3",31238.526
127,"3",17492.950
128,"0",7497.165
129,"3",53104.569
130,"3",33111.894
131,"3",29988.694
132,"2",9371.320
133,"3",43108.894
134,"3",28738.806
135,"3",19367.646
136,"2",82469.682
137,"5",29988.867
138,"1",4998.021
139,"2",44357.566
140,"3",29988.934
141,"3",6872.365
142,"3",32487.094
143,"0",5622.921
144,"3",6247.657
145,"2",74972.097
146,"2",1249.505
147,"0",20617.458
148,"3",64976.096
149,"0",68099.557
150,"3",18118.256
151,"3",8121.798
152,"3",624.761
153,"6",13744.667
154,"2",193677.341
155,"2",50606.337
156,"3",8121.848
157,"3",25615.505
158,"3",50605.075
159,"3",6872.449
160,"2",40608.979
161,"2",73722.137
162,"1",68099.096
163,"2",28114.117
164,"2",4373.327
165,"3",16243.560
166,"1",16868.518
167,"2",64349.771
168,"3",7497.113
169,"1",6872.359
170,"2",11245.597
171,"1",1874.279
172,"3",9371.381
173,"1",1249.519
174,"2",25615.240
175,"3",145570.445
176,"3",13744.888
177,"2",50606.024
178,"2",20616.946
179,"3",6247.592
180,"2",23116.029
181,"3",13744.819
182,"3",4998.046
183,"1",1874.303
184,"1",4998.144
185,"1",6872.443
186,"3",6872.308
187,"3",9996.206
188,"3",2499.069
189,"3",5622.834
190,"2",11870.476
191,"2",33736.898
192,"3",4373.351
193,"0",13026274.330
