fid,DN,area
1,"6",3751.270
2,"6",28134.319
3,"6",108786.401
4,"4",102535.823
5,"6",75650.820
6,"6",5001.779
7,"4",13129.690
8,"6",625.209
9,"6",10003.494
10,"0",1329002.421
11,"6",44389.857
12,"6",66897.278
13,"0",1359628.549
14,"6",587069.970
15,"3",625.204
16,"6",12504.062
17,"4",19381.656
18,"3",625.204
19,"3",5001.635
20,"4",95031.154
21,"5",8753.086
22,"4",522674.961
23,"6",11878.936
24,"1",8127.875
25,"1",625.222
26,"6",25633.617
27,"6",15005.034
28,"1",14380.039
29,"1",234456.954
30,"0",1379453.249
31,"3",17302810.610
32,"0",1367570.853
