fid,DN,area
1,"5",1250.990
2,"3",3752.955
3,"3",625.494
4,"2",30649.262
5,"3",56919.305
6,"5",11884.400
7,"3",625.495
8,"5",10007.918
9,"2",625.495
10,"1",10007.921
11,"3",6254.946
12,"3",7505.943
13,"2",26270.807
14,"0",7505.889
15,"0",11258.904
16,"2",61298.460
17,"2",625.494
18,"1",20015.842
19,"2",471623.312
20,"3",5003.964
21,"3",7505.924
22,"5",12509.883
23,"5",6254.939
24,"5",12509.902
25,"1",625.494
26,"3",6254.939
27,"2",322129.403
28,"5",1876.481
29,"5",625.493
30,"5",7505.929
31,"2",113214.559
32,"3",9382.413
33,"2",10633.423
34,"3",8131.417
35,"5",19390.366
36,"2",625.495
37,"2",7505.938
38,"2",113214.356
39,"1",29398.346
40,"3",3752.960
41,"1",625.495
42,"5",8131.422
43,"3",64426.053
44,"0",23143.323
45,"5",20641.274
46,"5",14386.359
47,"3",66302.375
48,"2",285851.100
49,"2",227054.561
50,"1",31900.279
51,"5",10633.388
52,"5",19390.343
53,"5",20641.295
54,"3",6254.951
55,"3",625.495
56,"2",24394.302
57,"3",10007.913
58,"1",16888.360
59,"5",14386.338
60,"2",237062.756
61,"2",1025185.266
62,"3",97577.219
63,"0",6254.951
64,"5",67553.302
65,"0",625.495
66,"2",24394.306
67,"1",19390.347
68,"2",68178.591
69,"5",8131.439
70,"1",10007.934
71,"5",8756.939
72,"3",10007.931
73,"1",1876.489
74,"2",193277.619
75,"2",67553.367
76,"2",8131.419
77,"3",32525.715
78,"1",11884.382
79,"2",625.496
80,"2",3127.479
81,"2",10633.411
82,"3",215169.802
83,"5",6880.430
84,"3",104457.752
85,"3",6254.939
86,"5",28147.130
87,"2",81314.424
88,"5",10007.911
89,"2",15637.293
90,"1",6880.429
91,"0",625.494
92,"2",7505.926
93,"2",67553.639
94,"1",47537.605
95,"5",21266.806
96,"3",8756.928
97,"0",625.494
98,"2",171385.106
99,"5",88194.659
100,"2",61923.901
101,"5",7505.942
102,"5",17513.825
103,"2",58170.945
104,"1",22517.823
105,"2",26270.809
106,"2",8131.420
107,"5",625.495
108,"5",625.496
109,"2",95075.403
110,"5",1876.480
111,"2",18764.766
112,"3",22517.812
113,"3",5629.457
114,"0",8131.425
115,"3",185146.367
116,"0",625.495
117,"5",1250.988
118,"3",625.495
119,"2",315874.937
120,"0",18806177.020
121,"1",1876.484
