fid,DN,area
1,"1",5627.733
2,"1",11880.718
3,"1",8754.265
4,"1",11880.880
5,"1",65031.719
6,"1",26887.959
7,"1",245745.717
8,"1",7503.640
9,"1",625.304
10,"1",85666.976
11,"1",10004.864
12,"1",15007.491
13,"1",1250.615
14,"1",1250.616
15,"1",2501.232
16,"1",35642.349
17,"1",10630.095
18,"1",10004.978
19,"1",625.308
20,"1",6878.367
21,"1",7503.702
22,"1",11255.414
23,"1",26263.084
24,"1",21885.585
25,"1",16883.012
26,"1",4377.138
27,"1",26888.372
28,"1",6252.974
29,"1",18133.813
30,"1",11255.558
31,"1",71909.609
32,"1",57528.797
33,"1",15632.478
34,"1",16883.307
35,"1",23136.381
36,"1",6252.994
37,"1",8754.176
38,"1",91294.248
39,"1",10630.287
40,"1",11880.786
41,"1",9379.597
42,"1",6878.315
43,"1",75036.606
44,"1",20635.109
45,"1",8128.943
46,"1",4377.149
47,"1",5627.758
48,"1",42521.063
49,"1",6878.363
50,"1",13131.541
51,"1",3126.560
52,"1",9379.640
53,"1",2501.248
54,"1",13756.694
55,"1",4377.129
56,"1",8128.921
57,"1",625.304
58,"1",7503.619
59,"1",625.298
60,"1",14382.140
61,"0",1250.619
62,"1",5627.647
63,"1",12506.086
64,"1",211350.944
65,"1",26888.324
66,"1",6253.124
67,"1",1250.623
68,"1",92544.728
69,"1",3126.543
70,"1",10004.939
71,"1",16883.289
72,"1",20009.852
73,"1",9379.584
74,"0",23047910.310
75,"1",10630.225
76,"1",625.305
