fid,DN,area
1,"3",625.466
2,"2",625.465
3,"2",1250.930
4,"2",1250.930
5,"2",625.465
6,"2",625.465
7,"2",61920.969
8,"3",56917.544
9,"2",6880.136
10,"2",5629.188
11,"1",625.464
12,"0",9381.993
13,"5",13760.061
14,"1",625.464
15,"0",43782.277
16,"5",17513.065
17,"5",24393.133
18,"2",10632.917
19,"2",5003.726
20,"2",51288.352
21,"3",88815.965
22,"4",25644.136
23,"1",15011.163
24,"3",136976.405
25,"2",15011.211
26,"3",6880.084
27,"1",625.464
28,"4",6254.670
29,"1",625.469
30,"0",11883.816
31,"3",8131.052
32,"1",18138.521
33,"4",808727.904
34,"1",14385.751
35,"1",6254.642
36,"1",3127.342
37,"1",625.469
38,"2",625.467
39,"5",54415.637
40,"2",11258.411
41,"1",53790.318
42,"2",6254.653
43,"3",13134.821
44,"4",6254.675
45,"3",64423.123
46,"2",161996.349
47,"1",9382.005
48,"0",3752.814
49,"3",497244.321
50,"4",31898.855
51,"3",74430.148
52,"2",23142.306
53,"2",140105.076
54,"0",11258.398
55,"5",18138.608
56,"2",127595.605
57,"5",26895.115
58,"3",30647.976
59,"2",64423.034
60,"3",23767.754
61,"5",625.468
62,"5",20015.005
63,"3",6880.091
64,"3",161995.642
65,"3",243305.619
66,"5",41906.421
67,"2",300224.666
68,"3",55666.631
69,"3",9381.949
70,"3",6880.096
71,"2",78183.543
72,"3",13760.359
73,"2",130097.172
74,"3",59419.054
75,"5",26269.494
76,"3",166373.663
77,"2",31898.883
78,"2",46910.167
79,"2",8756.536
80,"1",8756.509
81,"3",14385.667
82,"1",9381.977
83,"3",7505.570
84,"3",19389.538
85,"5",28771.538
86,"3",18138.518
87,"1",8131.053
88,"1",15636.698
89,"5",15011.171
90,"3",170125.954
91,"3",7505.625
92,"3",31273.467
93,"2",4378.245
94,"2",54415.358
95,"3",248934.647
96,"2",8131.030
97,"2",625.464
98,"1",6254.683
99,"5",6880.154
100,"2",11883.849
101,"5",8131.088
102,"3",190142.149
103,"1",625.464
104,"2",195770.623
105,"5",3752.796
106,"0",19332895.500
