fid,DN,area
1,"2",5627.733
2,"2",28764.186
3,"5",5627.776
4,"1",11880.718
5,"3",1875.901
6,"1",8754.265
7,"5",20009.606
8,"3",46272.226
9,"3",26887.959
10,"3",123185.142
11,"5",6878.361
12,"3",235740.965
13,"3",8754.295
14,"3",7503.640
15,"1",625.304
16,"1",30640.281
17,"5",11880.891
18,"1",10004.864
19,"1",13756.757
20,"3",10630.095
21,"5",22511.250
22,"5",21885.887
23,"5",17508.671
24,"5",11255.501
25,"1",13756.605
26,"3",29389.399
27,"2",10630.293
28,"1",11880.911
29,"1",7503.731
30,"3",16883.012
31,"5",625.304
32,"0",1367949.969
33,"2",108804.404
34,"1",106927.589
35,"3",16258.002
36,"5",9379.676
37,"5",5002.500
38,"5",11880.775
39,"1",1250.615
40,"1",7503.646
41,"0",1372330.637
42,"1",70034.157
43,"2",41895.166
44,"1",65656.417
45,"3",1250.619
46,"2",16883.455
47,"1",625.308
48,"1",5627.764
49,"1",6253.077
50,"3",1250.626
51,"5",625.313
52,"3",625.313
53,"3",8128.922
54,"5",11255.479
55,"3",3751.823
56,"1",8754.176
57,"1",9379.536
58,"1",6253.079
59,"3",625.303
60,"1",16257.853
61,"3",5627.795
62,"3",2501.214
63,"2",420833.800
64,"2",270130.779
65,"2",6878.263
66,"3",6878.315
67,"3",16257.714
68,"1",18758.885
69,"5",625.303
70,"1",113179.319
71,"1",16257.754
72,"5",16257.909
73,"3",1382560.300
74,"1",15632.433
75,"2",138816.012
76,"3",8128.921
77,"3",640306.441
78,"3",1394428.638
79,"3",119434.536
80,"1",20009.758
81,"3",7503.619
82,"5",625.310
83,"1",11880.678
84,"3",23761.830
85,"5",1250.619
86,"3",5627.647
87,"1",22511.237
88,"5",4508419.444
89,"1",21260.116
90,"5",1049272.343
91,"5",16883.370
92,"1",11880.847
93,"2",211350.934
94,"1",16257.799
95,"1",10630.249
96,"5",20634.895
97,"1",625.309
98,"3",16258.036
99,"2",10004.939
100,"4",13756.752
101,"5",6253.084
102,"5",6253.004
103,"4",9379.596
104,"3",234490.546
105,"3",700336.020
106,"5",13131.479
107,"3",25637.638
108,"2",3126.499
109,"1",4377.141
110,"1",9379.525
111,"2",625.301
112,"5",21260.412
113,"0",1360867.211
114,"2",5428907.609
115,"2",857298.748
116,"3",73786.099
117,"3",625.305
118,"0",1351477.043
