fid,DN,area
1,"3",6877.378
2,"3",14379.931
3,"6",35012.455
4,"4",5626.903
5,"5",10628.708
6,"6",8753.081
7,"5",221329.052
8,"5",13754.842
9,"1",3751.270
10,"5",13129.433
11,"6",6252.209
12,"2",28134.547
13,"1",13754.632
14,"3",276975.060
15,"3",829042.479
16,"5",16255.487
17,"2",81277.217
18,"1",6877.279
19,"3",25633.878
20,"1",5626.885
21,"3",5627.001
22,"1",18131.234
23,"6",11879.253
24,"1",3126.041
25,"1",21257.200
26,"4",8753.027
27,"3",20007.287
28,"3",5627.020
29,"5",7502.668
30,"2",151305.218
31,"1",5001.727
32,"2",6877.461
33,"1",625.210
34,"0",1328398.134
35,"2",4149575.085
36,"2",7502.603
37,"2",28135.006
38,"5",3751.354
39,"1",38763.974
40,"1",18131.799
41,"5",8127.939
42,"6",10003.604
43,"0",1377152.238
44,"2",24383.404
45,"1",16255.608
46,"1",232577.665
47,"1",6252.191
48,"6",6252.096
49,"1",5627.001
50,"1",1250.425
51,"2",7502.708
52,"2",8753.108
53,"1",6252.121
54,"2",70648.615
55,"2",6877.299
56,"1",8753.083
57,"1",43765.875
58,"1",16255.808
59,"2",116915.008
60,"1",8127.782
61,"1",8127.770
62,"1",10628.740
63,"1",1250.417
64,"1",625.215
65,"1",8127.892
66,"1",11253.949
67,"1",21257.532
68,"2",7502.512
69,"1",31260.851
70,"5",2500.837
71,"3",1250.419
72,"1",10628.766
73,"2",19381.993
74,"1",625.218
75,"1",11254.013
76,"1",6252.233
77,"1",221324.971
78,"5",11254.011
79,"1",1250.422
80,"2",116289.170
81,"1",16255.790
82,"1",59396.065
83,"1",120666.536
84,"1",282601.360
85,"3",10003.590
86,"3",625.225
87,"1",54394.396
88,"1",7502.547
89,"2",105661.475
90,"1",68773.812
91,"3",625.220
92,"2",5626.954
93,"1",26259.254
94,"0",1382562.563
95,"3",11322695.450
96,"0",1348794.282
