fid,DN,area
1,"2",625.466
2,"3",625.465
3,"3",1250.930
4,"3",1250.930
5,"3",625.465
6,"3",625.465
7,"3",61920.969
8,"5",23767.459
9,"2",56917.544
10,"2",16887.580
11,"2",625.464
12,"0",9381.993
13,"2",625.464
14,"0",43782.277
15,"3",17513.065
16,"3",35026.039
17,"3",5003.726
18,"2",16262.139
19,"3",71928.694
20,"3",15011.211
21,"3",9382.001
22,"5",6254.670
23,"3",625.469
24,"0",11883.816
25,"3",14385.751
26,"3",8131.057
27,"5",3127.342
28,"5",18138.518
29,"5",625.469
30,"3",66299.504
31,"2",7505.704
32,"5",8131.060
33,"2",31273.377
34,"3",6254.653
35,"2",13134.821
36,"5",6880.168
37,"5",6254.675
38,"3",161996.349
39,"3",9382.005
40,"3",158243.669
41,"3",3752.817
42,"0",3752.814
43,"3",625.470
44,"2",1543648.114
45,"2",31898.855
46,"2",74430.148
47,"5",38153.532
48,"0",11258.398
49,"5",8756.602
50,"2",6254.682
51,"3",139479.516
52,"2",30647.976
53,"3",64423.034
54,"2",23767.754
55,"3",20015.005
56,"2",6880.091
57,"3",13760.326
58,"2",12509.357
59,"2",161995.642
60,"2",243305.619
61,"3",327745.277
62,"2",55666.631
63,"2",9381.949
64,"2",6880.096
65,"3",93820.273
66,"2",13760.359
67,"3",130097.172
68,"2",59419.054
69,"3",26269.494
70,"3",31898.883
71,"3",46910.167
72,"2",175130.174
73,"2",14385.667
74,"5",9381.977
75,"5",7505.570
76,"5",19389.538
77,"3",53164.773
78,"2",18138.518
79,"3",8131.053
80,"3",15011.171
81,"2",170125.954
82,"2",7505.625
83,"2",31273.467
84,"3",4378.245
85,"3",54415.358
86,"2",248934.647
87,"1",8131.030
88,"1",625.464
89,"1",6880.154
90,"3",11883.849
91,"3",1250.937
92,"1",35026.212
93,"2",625.464
94,"5",11258.428
95,"2",156992.342
96,"3",195770.623
97,"1",3752.796
98,"0",19332895.500
