fid,DN,area
1,"3",2500.860
2,"5",625.221
3,"5",625.215
4,"3",13754.711
5,"5",13129.615
6,"2",8753.087
7,"5",7502.647
8,"4",5626.903
9,"5",19381.789
10,"5",320739.498
11,"1",14379.881
12,"4",6252.209
13,"1",5001.688
14,"3",286346.828
15,"2",45641.569
16,"5",62521.133
17,"2",160053.628
18,"1",11879.045
19,"3",25633.878
20,"3",30010.436
21,"1",5626.885
22,"1",18131.234
23,"1",3126.041
24,"5",5626.898
25,"3",941582.407
26,"5",32511.548
27,"2",106288.628
28,"1",29384.960
29,"4",8753.027
30,"3",5627.020
31,"5",11253.984
32,"1",36262.825
33,"5",22507.684
34,"1",5001.727
35,"5",6877.461
36,"1",625.210
37,"5",5001.748
38,"5",625.213
39,"0",1328398.134
40,"2",590211.159
41,"3",63771.990
42,"1",6252.211
43,"1",18131.799
44,"5",21882.869
45,"1",54394.378
46,"1",4376.612
47,"1",5001.719
48,"0",1377152.238
49,"2",36887.381
50,"2",3476829.261
51,"1",625.214
52,"1",4376.493
53,"1",625.214
54,"5",625.218
55,"1",232577.665
56,"1",6252.191
57,"1",10628.638
58,"5",8127.821
59,"1",5627.001
60,"1",1250.425
61,"5",11878.989
62,"1",28759.753
63,"5",7502.589
64,"5",3126.101
65,"5",625.215
66,"2",7502.708
67,"5",8753.108
68,"1",6252.121
69,"5",2500.882
70,"2",125666.958
71,"2",201319.461
72,"1",10628.753
73,"5",6252.119
74,"1",8753.083
75,"5",6252.166
76,"1",43765.875
77,"1",16255.808
78,"2",25008.837
79,"2",101286.827
80,"2",53143.237
81,"2",35012.340
82,"1",8127.782
83,"2",343872.684
84,"4",11879.081
85,"2",30635.579
86,"2",24383.510
87,"1",4376.496
88,"5",31260.794
89,"1",10628.740
90,"5",4376.593
91,"1",1250.417
92,"1",16255.670
93,"1",625.215
94,"1",8127.892
95,"2",91905.839
96,"1",21257.532
97,"5",44389.867
98,"1",31260.851
99,"1",10628.766
100,"5",19381.993
101,"1",625.218
102,"5",29385.453
103,"1",11254.013
104,"1",258212.606
105,"1",1250.422
106,"2",96283.085
107,"1",25634.134
108,"2",14379.762
109,"2",56894.956
110,"3",82528.466
111,"1",59396.065
112,"1",120666.536
113,"1",288853.604
114,"2",10003.590
115,"5",6252.154
116,"2",625.225
117,"2",625.225
118,"2",125044.714
119,"1",54394.396
120,"3",20007.164
121,"1",7502.547
122,"2",118166.655
123,"2",627717.248
124,"1",85654.696
125,"1",38138.432
126,"2",4376.539
127,"3",148802.769
128,"0",1382562.563
129,"3",8768062.690
130,"1",3126.093
131,"0",1348794.282
