fid,DN,area
1,"1",113211.752
2,"1",119466.984
3,"1",625.482
4,"3",89444.276
5,"0",1316401.162
6,"0",1363312.557
7,"3",5003.860
8,"1",1464881.782
9,"3",46286.106
10,"2",38154.512
11,"1",15011.590
12,"1",31899.656
13,"1",625.483
14,"1",21266.414
15,"1",203281.744
16,"1",84440.028
17,"4",59420.845
18,"1",19389.920
19,"1",32525.091
20,"1",46285.658
21,"1",9382.223
22,"5",13760.603
23,"1",11258.671
24,"1",6254.822
25,"1",75683.149
26,"1",1250.964
27,"1",625.482
28,"0",1360691.955
29,"3",16776029.300
30,"2",26895.782
31,"0",1416981.977
