fid,DN,area
1,"3",5003.224
2,"3",54410.040
3,"5",5628.624
4,"1",1876.194
5,"1",8130.225
6,"5",7504.786
7,"5",6879.424
8,"5",2501.609
9,"1",8130.217
10,"3",28768.632
11,"1",8755.660
12,"5",1250.804
13,"1",48781.022
14,"2",20012.718
15,"5",625.397
16,"5",8755.562
17,"1",5628.614
18,"2",6879.454
19,"1",38774.640
20,"5",21263.633
21,"2",5003.223
22,"5",6879.403
23,"2",5003.178
24,"1",6253.977
25,"3",6879.420
26,"3",13758.761
27,"5",13133.465
28,"1",8755.646
29,"5",5003.274
30,"5",6879.369
31,"1",20012.703
32,"5",625.396
33,"5",1250.791
34,"5",2501.583
35,"5",5628.603
36,"1",5628.648
37,"5",3752.441
38,"5",8130.141
39,"5",1250.791
40,"1",70044.496
41,"5",14384.346
42,"5",9381.019
43,"3",15009.720
44,"1",41901.546
45,"2",18762.223
46,"2",14384.161
47,"5",14384.097
48,"5",8130.255
49,"3",256416.603
50,"1",12508.045
51,"1",14384.285
52,"3",625.404
53,"1",13758.755
54,"2",6254.063
55,"3",165105.925
56,"5",5003.234
57,"5",10631.783
58,"3",22514.509
59,"1",6254.059
60,"2",13758.883
61,"3",38149.611
62,"2",10006.369
63,"1",625.406
64,"5",6879.381
65,"0",20638.414
66,"3",80676.894
67,"1",16260.379
68,"1",7504.676
69,"5",15009.566
70,"1",3752.424
71,"5",36898.963
72,"1",10006.473
73,"5",3752.391
74,"1",15009.531
75,"1",28143.296
76,"2",83804.385
77,"5",28142.772
78,"5",1876.196
79,"5",1250.798
80,"3",15634.943
81,"5",5003.251
82,"5",11882.552
83,"0",5628.652
84,"2",28768.529
85,"4",8755.570
86,"1",8130.294
87,"3",5003.182
88,"3",93809.783
89,"4",625.398
90,"5",22514.547
91,"5",8130.166
92,"3",25015.839
93,"2",71921.317
94,"3",73797.207
95,"3",1250.795
96,"2",4377.847
97,"5",6879.380
98,"5",5628.575
99,"2",75047.418
100,"2",7504.796
101,"2",227646.377
102,"2",1250.807
103,"2",625.404
104,"2",1250.808
105,"1",11257.157
106,"5",13758.863
107,"2",1250.808
108,"0",6879.442
109,"0",8755.612
110,"5",30019.181
111,"2",625.404
112,"3",52533.888
113,"2",63791.169
114,"1",5628.598
115,"5",13133.372
116,"5",625.397
117,"2",89432.118
118,"5",10006.416
119,"1",26266.748
120,"5",18136.577
121,"5",46279.810
122,"2",7504.824
123,"5",3752.380
124,"3",34397.086
125,"5",10631.799
126,"1",76298.712
127,"3",5628.580
128,"3",625.397
129,"3",2501.583
130,"2",10006.470
131,"4",11882.662
132,"1",24390.707
133,"5",9381.053
134,"3",44403.501
135,"1",43152.641
136,"4",8130.190
137,"5",11882.600
138,"5",15634.954
139,"2",701079.318
140,"5",30019.365
141,"3",7504.838
142,"5",10006.433
143,"1",26266.858
144,"1",20638.339
145,"3",19387.460
146,"1",57536.884
147,"0",20901532.430
