yyyy,mm,tmax,tmin,af,rain,sun
2013,1,8.3,4,3,94.8,NA
2013,2,7.7,2.5,4,58.6,NA
2013,3,7.9,1.7,7,58.4,NA
2013,4,11.5,4.8,3,32.8,NA
2013,5,14.4,6.7,0,82.2,NA
2013,6,18.2,11.1,0,21.2,NA
2013,7,23.4,13.8,0,22.2,NA
2013,8,20.7,13.9,0,83.2,NA
2013,9,18.6,12.2,0,82.2,NA
2013,10,16.7,11.3,0,135.5,NA
2013,11,11.5,5.3,3,96.2,NA
2013,12,11.1,4.5,1,142.4,NA
2014,1,10.1,4.5,0,153.1,NA
2014,2,10.1,4.7,0,144.9,NA
2014,3,12.3,4.3,0,52.8,NA
2014,4,14.3,7.1,0,71.3,NA
2014,5,16.3,9.7,0,70.2,NA
2014,6,20.1,11.9,0,77.2,NA
2014,7,21.8,13.8,0,42.4,NA
2014,8,19.3,12.7,0,118,NA
2014,9,20.7,11.6,0,9.6,NA
2014,10,16.9,11,0,90.2,NA
2014,11,12.7,6.4,2,81,NA
2014,12,10.1,4.2,3,85.3,NA
2015,1,9.6,4,4,135,NA
2015,2,8.4,2.4,7,79,NA
2015,3,10.9,3.7,2,53.4,NA
2015,4,14.9,6.1,0,23,NA
2015,5,14.8,8.8,0,76,NA
2015,6,18.3,10.9,0,44.4,NA
2015,7,19.5,13,0,81.8,NA
2015,8,19.8,12.4,0,132.4,NA
2015,9,17.8,9.8,0,85.8,NA
2015,10,15.8,8.8,0,64.4,NA
2015,11,13.8,9.1,1,109.4,NA
2015,12,13.5,9.5,0,122.2,NA
2016,1,10.3,5,2,139,NA
2016,2,9.3,3.4,5,83.2,NA
2016,3,10.7,3,3,78.8,NA
2016,4,12.6,5,2,38.6,NA
2016,5,17.9,8.9,0,43,NA
2016,6,18.9,12.7,0,103.2,NA
2016,7,20.2,13.9,0,27.6,NA
2016,8,20.9,13.8,0,62,NA
2016,9,19.7,13.4,0,79,NA
2016,10,15.2,8,0,32,NA
2016,11,10.9,5.1,3,143.4,NA
2016,12,10.6,4.8,3,45.8,NA
2017,1,9,3.7,5,91.4,NA
2017,2,10.3,5.2,0,54,NA
2017,3,12.6,6.6,1,92.4,NA
2017,4,13.6,5.7,1,25.2,NA
2017,5,17.7,9.8,0,35.2,NA
2017,6,20.2,12.7,0,60.2,NA
2017,7,20.2,13.8,0,130.4,NA
2017,8,19.6,12.9,0,86.2,NA
2017,9,17.7,11.3,0,114.2,NA
2017,10,16.2,11.4,0,50.2,NA
2017,11,12.3,5.9,0,81.4,NA
2017,12,10.2,4.9,0,116,NA
2018,1,9.8,4.1,4,94.4,NA
2018,2,7.5,1.9,8,39,NA
2018,3,9.3,3,7,113.4,NA
2018,4,14.2,7,0,67.8,NA
2018,5,17.7,8.9,0,36.6,NA
2018,6,22.5,12.7,0,3.8,NA
2018,7,23.4,14,0,33.4,NA
2018,8,20.4,14,0,88,NA
2018,9,18.5,11.1,0,83.6,NA
2018,10,15.3,8.3,2,63.4,NA
2018,11,12.3,6.6,1,96.2,NA
2018,12,11.5,6.5,0,109.8,NA
2019,1,8.6,3.8,5,50.6,NA
2019,2,12.4,4.2,2,60.6,NA
2019,3,11.8,5.8,0,78.6,NA
2019,4,14.8,6,0,75,NA
2019,5,16.3,7.8,0,22.2,NA
2019,6,18.5,11.7,0,102.4,NA
2019,7,22.3,13.6,0,39.8,NA
2019,8,21,14.1,0,88.8,NA
2019,9,18.9,12.4,0,151.8,NA
2019,10,15,9.2,0,167,NA
2019,11,11,5.9,0,142.2,NA
2019,12,10.3,4.2,3,129.2,NA
2020,1,10.3,4.9,5,89.6,NA
2020,2,10.5,5.2,0,145.8,NA
2020,3,11.3,4.4,1,70.8,NA
2020,4,17.2,6.7,0,32.6,NA
2020,5,18.7,8,0,7.8,NA
2020,6,19.4,11.5,0,117.4,NA
2020,7,19,12.6,0,52.4,NA
2020,8,21.2,14.5,0,115.4,NA
2020,9,18.7,11.4,0,56,NA
2020,10,14.4,9.2,0,142.4,NA
2020,11,13.1,6.7,3,70.4,NA
2020,12,9.9,4.8,4,181.4,NA
2021,1,8.2,2.4,12,133.2,NA
2021,2,9.8,3.8,5,63,NA
2021,3,11.6,4.3,4,33.4,NA
2021,4,13.2,3.2,4,5.6,NA
2021,5,14.7,7.3,0,135.8,NA
2021,6,19.9,11.6,0,35,NA
2021,7,22.1,14,0,101.2,NA
2021,8,20.1,12.8,0,38.2,NA
2021,9,20.3,12.6,0,62.2,NA
2021,10,16.5,10.2,0,124.8,NA
2021,11,12.3,6.7,1,46.4,NA
2021,12,11.4,6.6,0,80.2,NA
2022,1,9.8,3.3,8,56.4,NA
2022,2,11.1,5.5,0,74,NA
2022,3,13.2,4.5,0,26.4,NA
2022,4,14.9,5.7,2,33.8,NA
2022,5,17.2,9.8,0,33,NA
2022,6,19.9,10.9,0,42.2,NA
2022,7,22.8,13.6,0,14.6,NA
2022,8,24.2,13.9,0,32.2,NA
2022,9,19.1,11.6,0,95.2,NA
