fid,DN,area
1,"5",625.489
2,"5",12509.795
3,"1",10007.867
4,"3",106958.667
5,"1",625.490
6,"1",39405.699
7,"2",19390.185
8,"5",44409.928
9,"1",217043.692
10,"5",16262.725
11,"0",1330844.029
12,"2",1496166.468
13,"1",21266.584
14,"1",8131.354
15,"1",212666.082
16,"5",5629.389
17,"0",1360239.345
18,"5",8131.369
19,"1",625.490
20,"2",105707.464
21,"1",219546.864
22,"5",5629.398
23,"3",211414.603
24,"5",68178.447
25,"1",178890.247
26,"3",5629.380
27,"5",11884.291
28,"1",24394.103
29,"5",42533.356
30,"2",38154.817
31,"5",5003.900
32,"1",16262.716
33,"2",1997806.732
34,"3",5003.914
35,"3",625.489
36,"2",1920252.377
37,"1",1876.463
38,"1",625.488
39,"1",43158.688
40,"3",11318225.360
41,"1",6254.898
42,"0",1368154.026
43,"3",339015.445
44,"1",547302.512
45,"0",1377535.440
