fid,DN,area
1,"1",5622.842
2,"3",3123.806
3,"2",88715.638
4,"3",8746.765
5,"3",33737.026
6,"1",49981.207
7,"5",13744.786
8,"1",1874.291
9,"3",14369.484
10,"5",4998.121
11,"3",153691.644
12,"3",21241.998
13,"1",14369.510
14,"3",7497.127
15,"3",43733.622
16,"3",624.766
17,"1",8121.916
18,"3",9371.543
19,"3",11245.635
20,"3",16243.856
21,"3",8121.981
22,"3",1874.306
23,"5",18743.056
24,"3",624.768
25,"3",19992.423
26,"1",18118.213
27,"2",4998.155
28,"2",624.769
29,"3",33737.420
30,"2",566032.897
31,"2",94962.696
32,"3",9996.315
33,"3",68724.561
34,"2",300508.053
35,"1",6247.652
36,"4",23116.247
37,"3",90591.136
38,"2",10620.871
39,"1",24365.470
40,"1",94340.222
41,"1",624.771
42,"3",96838.504
43,"2",73721.598
44,"5",6247.585
45,"3",9371.515
46,"3",21866.733
47,"1",31862.622
48,"2",11870.347
49,"2",18742.738
50,"3",24365.734
51,"2",9371.351
52,"3",8121.968
53,"3",6872.422
54,"1",8746.568
55,"5",1270765.057
56,"2",92463.531
57,"2",41859.627
58,"3",3123.832
59,"1",171810.292
60,"4",149942.889
61,"2",42483.235
62,"1",7497.221
63,"2",624.767
64,"2",57477.677
65,"1",24365.442
66,"3",286769.201
67,"1",9371.499
68,"5",248032.010
69,"3",87466.913
70,"1",649126.356
71,"1",3123.770
72,"5",6247.521
73,"5",8121.836
74,"2",1249.530
75,"2",58727.828
76,"2",56852.741
77,"1",24365.376
78,"5",16243.781
79,"5",3748.536
80,"2",1443212.471
81,"5",11245.688
82,"5",29988.845
83,"2",27489.248
84,"2",10620.799
85,"1",6872.368
86,"5",5622.901
87,"2",2499.073
88,"2",4998.141
89,"5",78094.893
90,"2",7497.248
91,"2",96213.852
92,"2",19367.323
93,"3",15619.140
94,"1",36860.495
95,"3",21866.782
96,"2",31238.526
97,"1",7497.186
98,"1",34986.539
99,"5",33112.580
100,"3",7497.165
101,"2",18117.977
102,"5",13744.556
103,"1",11245.576
104,"2",43108.894
105,"2",28738.806
106,"1",8121.963
107,"1",29988.867
108,"2",32487.094
109,"5",62476.803
110,"2",24990.739
111,"5",6247.657
112,"3",1249.505
113,"1",604145.492
114,"2",56854.090
115,"1",291761.094
116,"1",8746.754
117,"2",18118.256
118,"2",8121.798
119,"5",4998.157
120,"5",4373.290
121,"5",624.770
122,"1",3748.547
123,"2",30613.649
124,"2",46231.825
125,"1",1249.516
126,"1",6872.449
127,"1",1249.516
128,"1",43108.617
129,"5",4373.327
130,"1",16243.560
131,"5",7497.113
132,"1",143069.931
133,"2",145570.445
134,"2",13744.888
135,"5",6247.592
136,"1",13744.819
137,"1",4998.046
138,"2",624.755
139,"1",624.768
140,"2",33112.006
141,"2",9371.345
142,"2",9996.206
143,"1",2499.069
144,"5",5622.834
145,"2",4373.351
146,"3",9969307.848
