fid,DN,area
1,"1",625.489
2,"1",12509.795
3,"3",97576.339
4,"1",78811.746
5,"1",10633.332
6,"1",25019.554
7,"2",19390.185
8,"3",125723.427
9,"3",126974.574
10,"0",1330844.029
11,"1",21266.584
12,"5",5629.389
13,"3",11884.280
14,"0",1360239.345
15,"3",39405.707
16,"5",6254.881
17,"3",6254.880
18,"1",1023300.836
19,"1",40656.759
20,"3",625.489
21,"1",279594.069
22,"3",3752.934
23,"3",20015.641
24,"1",19390.151
25,"1",8756.835
26,"3",21266.578
27,"1",36278.414
28,"5",24394.121
29,"2",4378.413
30,"5",60046.837
31,"3",7695395.208
32,"3",108209.557
33,"1",8756.842
34,"2",4378.414
35,"1",9382.353
36,"1",16262.716
37,"3",1259733.320
38,"2",625.488
39,"2",7036116.101
40,"1",1876.463
41,"1",625.488
42,"1",43158.688
43,"3",136982.211
44,"3",1250.976
45,"1",20641.150
46,"2",138232.696
47,"1",6254.898
48,"0",1368154.026
49,"1",545426.011
50,"3",168882.234
51,"3",625.489
52,"0",1377535.440
