fid,DN,area
1,"3",625.466
2,"2",6880.115
3,"3",56917.544
4,"2",1250.929
5,"2",1250.929
6,"2",6880.136
7,"1",625.464
8,"5",13760.061
9,"1",625.464
10,"5",33775.096
11,"5",17513.065
12,"2",10632.917
13,"1",9382.000
14,"2",151987.929
15,"2",39404.384
16,"3",88815.965
17,"1",15011.163
18,"3",222665.330
19,"3",6880.084
20,"3",20640.465
21,"4",38778.938
22,"1",625.464
23,"4",6254.670
24,"3",39404.439
25,"1",625.469
26,"3",8131.052
27,"1",18138.521
28,"4",808727.904
29,"1",14385.751
30,"1",6254.642
31,"1",3127.342
32,"1",625.469
33,"2",625.467
34,"3",155741.960
35,"2",11258.411
36,"2",48786.367
37,"1",53790.318
38,"2",6254.653
39,"5",283962.115
40,"3",73805.138
41,"1",10632.955
42,"5",20640.357
43,"4",1250.937
44,"4",21265.770
45,"4",7505.560
46,"4",9382.010
47,"4",3752.814
48,"4",1250.927
49,"4",6254.667
50,"4",31898.855
51,"4",46910.039
52,"2",23142.306
53,"3",20640.438
54,"5",9382.016
55,"4",45658.925
56,"4",3127.332
57,"4",10007.502
58,"5",26895.115
59,"4",625.466
60,"1",120089.743
61,"2",64423.034
62,"5",625.468
63,"0",1330171.097
64,"4",30022.229
65,"4",18138.525
66,"4",3752.780
67,"0",1355809.881
68,"5",31273.223
69,"3",68801.597
70,"4",6254.666
71,"4",5629.168
72,"4",5003.734
73,"5",314611.120
74,"1",6880.092
75,"4",8131.070
76,"4",625.467
77,"2",6254.625
78,"4",3752.803
79,"2",3032892.886
80,"4",625.467
81,"4",1876.400
82,"2",488487.782
83,"2",130097.172
84,"5",52539.373
85,"4",10007.480
86,"1",7505.556
87,"2",46910.167
88,"4",34400.865
89,"2",38779.036
90,"1",26269.582
91,"1",74430.313
92,"5",55041.216
93,"4",10632.970
94,"1",15636.698
95,"5",110081.723
96,"3",48161.061
97,"4",4378.282
98,"4",625.469
99,"2",314610.194
100,"4",10632.971
101,"2",4378.245
102,"3",20640.390
103,"3",21265.890
104,"3",1000750.027
105,"2",54415.358
106,"3",8756.518
107,"4",8756.566
108,"2",8131.030
109,"2",625.464
110,"3",5432785.768
111,"2",52539.295
112,"5",6880.154
113,"1",69426.895
114,"2",11883.849
115,"5",8756.557
116,"5",625.468
117,"5",625.468
118,"5",625.468
119,"5",1250.936
120,"5",1250.936
121,"1",3188000.508
122,"5",16262.151
123,"2",214534.221
124,"3",3127.321
125,"3",625.465
126,"1",44408.094
127,"0",1378749.676
128,"3",1350385.281
129,"5",8131.073
130,"0",1370609.220
